Uploaded data
|    1-512   |        dato|  513-1024  |        dato| 1025-1536  |        dato| 1537-2048  |        dato| 2049-2560  |        dato| 2561-3072  |        dato|
|         328|          21|         840|          78|        1352|         151|        1864|         239|        2376|          88|        2888|         209|
|         329|          63|         841|         189|        1353|          11|        1865|          41|        2377|          23|        2889|         213|
|         330|         193|         842|         207|        1354|         109|        1866|         155|        2378|          89|        2890|         167|
|         331|         172|         843|         234|        1355|         120|        1867|          87|        2379|         133|        2891|           3|
|         332|          65|         844|          79|        1356|         109|        1868|         154|        2380|         216|        2892|          38|
|         333|         114|         845|         240|        1357|          63|        1869|          94|        2381|          76|        2893|          11|
|         334|          67|         846|         207|        1358|         236|        1870|         152|        2382|         212|        2894|         160|
|         335|          20|         847|          87|        1359|         235|        1871|         207|        2383|           3|        2895|         134|
|         336|         131|         848|           0|        1360|         141|        1872|          42|        2384|         215|        2896|         148|
|         337|         132|         849|          53|        1361|         182|        1873|           7|        2385|          41|        2897|          26|
|         338|         198|         850|          58|        1362|          62|        1874|         211|        2386|         247|        2898|         171|
|         339|         162|         851|         173|        1363|           9|        1875|         180|        2387|         175|        2899|         251|
|         340|         213|         852|         123|        1364|          49|        1876|         247|        2388|         206|        2900|         180|
|         341|         213|         853|         139|        1365|          17|        1877|         103|        2389|         141|        2901|         131|
|         342|          54|         854|          29|        1366|         147|        1878|         153|        2390|          48|        2902|          86|
|         343|          96|         855|         149|        1367|          26|        1879|         239|        2391|          20|        2903|         137|
|         344|         173|         856|          86|        1368|          15|        1880|         216|        2392|         177|        2904|         155|
|         345|          89|         857|         134|        1369|         130|        1881|          79|        2393|         235|        2905|          88|
|         346|         206|         858|         208|        1370|          99|        1882|         133|        2394|          56|        2906|         122|
|         347|         115|         859|         211|        1371|         132|        1883|         133|        2395|         213|        2907|         118|
|         348|          44|         860|         210|        1372|         136|        1884|          79|        2396|          37|        2908|          11|
|         349|         247|         861|         172|        1373|          49|        1885|         134|        2397|         171|        2909|         160|
|         350|         229|         862|         206|        1374|          70|        1886|          79|        2398|         232|        2910|          16|
|         351|         158|         863|         204|        1375|          74|        1887|          24|        2399|          54|        2911|         164|
|         352|         152|         864|          85|        1376|          35|        1888|           0|        2400|         238|        2912|         235|
|         353|          46|         865|          30|        1377|         222|        1889|         109|        2401|         205|        2913|         253|
|         354|          11|         866|         195|        1378|          12|        1890|         229|        2402|          78|        2914|          70|
|         355|           7|         867|          69|        1379|         211|        1891|         177|        2403|         222|        2915|          92|
|         356|          12|         868|          27|        1380|          57|        1892|         104|        2404|         166|        2916|         245|
|         357|         254|         869|         123|        1381|         199|        1893|         227|        2405|         208|        2917|         140|
|         358|          84|         870|         231|        1382|          10|        1894|         189|        2406|           0|        2918|         211|
|         359|          62|         871|         109|        1383|         237|        1895|         188|        2407|         220|        2919|          75|
|         360|         110|         872|          40|        1384|         242|        1896|         203|        2408|         181|        2920|         175|
|         361|           6|         873|           1|        1385|         204|        1897|         103|        2409|         210|        2921|          13|
|         362|         244|         874|         139|        1386|         178|        1898|         105|        2410|         176|        2922|         135|
|         363|         123|         875|          30|        1387|          17|        1899|          84|        2411|         231|        2923|         202|
|         364|         162|         876|         129|        1388|         112|        1900|         110|        2412|         125|        2924|         156|
|         365|         234|         877|         245|        1389|         209|        1901|         124|        2413|         248|        2925|          68|
|         366|          12|         878|         241|        1390|         103|        1902|         108|        2414|           1|        2926|          38|
|         367|          39|         879|          96|        1391|         233|        1903|         193|        2415|         234|        2927|          99|
|         368|         253|         880|         155|        1392|          73|        1904|           7|        2416|         213|        2928|         179|
|         369|         247|         881|          69|        1393|         100|        1905|          82|        2417|          16|        2929|         158|
|         370|         196|         882|          97|        1394|         143|        1906|          76|        2418|         153|        2930|         118|
|         371|         158|         883|          47|        1395|          15|        1907|          63|        2419|         192|        2931|         144|
|         372|         253|         884|          20|        1396|          59|        1908|         114|        2420|         185|        2932|          16|
|         373|          10|         885|         109|        1397|         159|        1909|         162|        2421|         117|        2933|          24|
|         374|         154|         886|         121|        1398|         233|        1910|         232|        2422|         119|        2934|         151|
|         375|          52|         887|         126|        1399|          24|        1911|           1|        2423|          59|        2935|         197|
|         376|          55|         888|         161|        1400|          27|        1912|         165|        2424|          63|        2936|         234|
|         377|         173|         889|         151|        1401|          80|        1913|         218|        2425|          51|        2937|          93|
|         378|         250|         890|         197|        1402|          32|        1914|          12|        2426|         135|        2938|         147|
|         379|         118|         891|         123|        1403|         209|        1915|         118|        2427|         108|        2939|         177|
|         380|         144|         892|          72|        1404|          15|        1916|         230|        2428|         205|        2940|         197|
|         381|         132|         893|           6|        1405|          88|        1917|         122|        2429|         108|        2941|          46|
|         382|          14|         894|         144|        1406|         161|        1918|          67|        2430|         116|        2942|          54|
|         383|         178|         895|          21|        1407|         200|        1919|         203|        2431|          30|        2943|         194|
|         384|         176|         896|         207|        1408|         253|        1920|          60|        2432|         138|        2944|         232|
|         385|         232|         897|         180|        1409|          81|        1921|         190|        2433|         251|        2945|           7|
|         386|         215|         898|         249|        1410|         170|        1922|         236|        2434|         190|        2946|          32|
|         387|         185|         899|         187|        1411|          14|        1923|         177|        2435|         164|        2947|         231|
|         388|         180|         900|         116|        1412|          67|        1924|          35|        2436|          18|        2948|          18|
|         389|         209|         901|          58|        1413|         116|        1925|         125|        2437|          86|        2949|           0|
|         390|         125|         902|          73|        1414|         164|        1926|         144|        2438|          12|        2950|          24|
|         391|         227|         903|         103|        1415|          60|        1927|          96|        2439|         213|        2951|         153|
|         392|          35|         904|         222|        1416|         169|        1928|         131|        2440|         110|        2952|         105|
|         393|         249|         905|         241|        1417|         185|        1929|          81|        2441|         185|        2953|         241|
|         394|         227|         906|         131|        1418|         179|        1930|         115|        2442|         195|        2954|         163|
|         395|          84|         907|         220|        1419|         180|        1931|         220|        2443|          84|        2955|          28|
|         396|          36|         908|          84|        1420|         147|        1932|         227|        2444|          67|        2956|         179|
|         397|          62|         909|          87|        1421|          63|        1933|         248|        2445|         129|        2957|         217|
|         398|         127|         910|          61|        1422|         139|        1934|         105|        2446|         215|        2958|         213|
|         399|         126|         911|          44|        1423|          41|        1935|         119|        2447|          21|        2959|           2|
|         400|         238|         912|          45|        1424|         124|        1936|         218|        2448|          73|        2960|         200|
|         401|          72|         913|         180|        1425|         239|        1937|         250|        2449|         214|        2961|         129|
|         402|         105|         914|         175|        1426|         133|        1938|         235|        2450|         226|        2962|         104|
|         403|         231|         915|         124|        1427|          98|        1939|         151|        2451|          28|        2963|         242|
|         404|         127|         916|         135|        1428|         159|        1940|         199|        2452|         255|        2964|          71|
|         405|         109|         917|         253|        1429|          93|        1941|         140|        2453|         140|        2965|          92|
|         406|         177|         918|          10|        1430|         242|        1942|         106|        2454|         115|        2966|          11|
|         407|          44|         919|          11|        1431|          58|        1943|         185|        2455|         136|        2967|         167|
|         408|         145|         920|          60|        1432|         247|        1944|         194|        2456|         158|        2968|         137|
|         409|         209|         921|         248|        1433|         238|        1945|         181|        2457|          75|        2969|         178|
|         410|         246|         922|          11|        1434|         175|        1946|         227|        2458|         168|        2970|         252|
|         411|          71|         923|         113|        1435|         236|        1947|         182|        2459|         209|        2971|          59|
|         412|         202|         924|          18|        1436|         106|        1948|         211|        2460|          75|        2972|         211|
|         413|         210|         925|         161|        1437|          64|        1949|         175|        2461|         238|        2973|         253|
|         414|          52|         926|         207|        1438|         250|        1950|         180|        2462|         255|        2974|         217|
|         415|          13|         927|          37|        1439|         141|        1951|          69|        2463|          78|        2975|         166|
|         416|          51|         928|          50|        1440|          66|        1952|          97|        2464|         144|        2976|         208|
|         417|         163|         929|         205|        1441|         198|        1953|         144|        2465|          42|        2977|         148|
|         418|         222|         930|         233|        1442|         131|        1954|         174|        2466|         105|        2978|         180|
|         419|         250|         931|          66|        1443|         218|        1955|         194|        2467|         250|        2979|         130|
|         420|         235|         932|         220|        1444|         220|        1956|         237|        2468|          13|        2980|          62|
|         421|          54|         933|          13|        1445|         179|        1957|          42|        2469|         112|        2981|         134|
|         422|          45|         934|         178|        1446|         198|        1958|         107|        2470|         160|        2982|         101|
|         423|          49|         935|         139|        1447|          52|        1959|          46|        2471|         119|        2983|          17|
|         424|          29|         936|          88|        1448|         164|        1960|           0|        2472|         107|        2984|         231|
|         425|          96|         937|         213|        1449|          26|        1961|          47|        2473|          20|        2985|         201|
|         426|         183|         938|         224|        1450|         153|        1962|         226|        2474|         187|        2986|          36|
|         427|         191|         939|         172|        1451|         233|        1963|         118|        2475|          83|        2987|         128|
|         428|          47|         940|          48|        1452|          65|        1964|          97|        2476|         146|        2988|         211|
|         429|          56|         941|         221|        1453|          83|        1965|         153|        2477|         174|        2989|         148|
|         430|          67|         942|          90|        1454|           1|        1966|          56|        2478|           0|        2990|          87|
|         431|          32|         943|         195|        1455|         181|        1967|         248|        2479|         139|        2991|         109|
|         432|          60|         944|         156|        1456|          12|        1968|         140|        2480|          28|        2992|         188|
|         433|         192|         945|         200|        1457|         160|        1969|          72|        2481|         193|        2993|           9|
|         434|         220|         946|          75|        1458|          74|        1970|         218|        2482|         249|        2994|         168|
|         435|           4|         947|          30|        1459|         137|        1971|          67|        2483|          77|        2995|         168|
|         436|         197|         948|          62|        1460|         199|        1972|          96|        2484|           9|        2996|         194|
|         437|         199|         949|           4|        1461|          16|        1973|         237|        2485|         154|        2997|          23|
|         438|          36|         950|         117|        1462|          87|        1974|         200|        2486|         202|        2998|          91|
|         439|          83|         951|          70|        1463|         138|        1975|          30|        2487|           2|        2999|          54|
|         440|         163|         952|          15|        1464|         140|        1976|          24|        2488|         180|        3000|          96|
|         441|          13|         953|         241|        1465|         164|        1977|          40|        2489|         123|        3001|         159|
|         442|         235|         954|         201|        1466|          54|        1978|          52|        2490|         193|        3002|         222|
|         443|         110|         955|          61|        1467|          93|        1979|         205|        2491|         140|        3003|         156|
|         444|          64|         956|         154|        1468|           3|        1980|         124|        2492|           5|        3004|         159|
|         445|         169|         957|          69|        1469|         177|        1981|         237|        2493|         249|        3005|         213|
|         446|           0|         958|          52|        1470|         247|        1982|          75|        2494|          47|        3006|         162|
|         447|         184|         959|           5|        1471|         162|        1983|         143|        2495|         204|        3007|          90|
|         448|           7|         960|         104|        1472|         216|        1984|          88|        2496|         233|        3008|         137|
|         449|         168|         961|         175|        1473|         133|        1985|          44|        2497|         163|        3009|         234|
|         450|          71|         962|         187|        1474|         191|        1986|          83|        2498|         118|        3010|          42|
|         451|          85|         963|          97|        1475|         190|        1987|         107|        2499|         104|        3011|         181|
|         452|          25|         964|         187|        1476|         108|        1988|          46|        2500|         255|        3012|         225|
|         453|         247|         965|         186|        1477|          77|        1989|         177|        2501|         228|        3013|         232|
|         454|          12|         966|         202|        1478|          24|        1990|         246|        2502|         100|        3014|          98|
|         455|          49|         967|         224|        1479|         222|        1991|          44|        2503|         203|        3015|         185|
|         456|          66|         968|         127|        1480|         203|        1992|          40|        2504|         149|        3016|          17|
|         457|         131|         969|         245|        1481|          55|        1993|          73|        2505|          43|        3017|         221|
|         458|         151|         970|         201|        1482|         139|        1994|         221|        2506|         191|        3018|          49|
|         459|          68|         971|          22|        1483|          57|        1995|         171|        2507|         109|        3019|         127|
|         460|          43|         972|         125|        1484|         223|        1996|          80|        2508|         210|        3020|         100|
|         461|         158|         973|          81|        1485|         211|        1997|          38|        2509|          72|        3021|          59|
|         462|           1|         974|         241|        1486|         113|        1998|         129|        2510|          33|        3022|          81|
|         463|          21|         975|          45|        1487|         149|        1999|          76|        2511|          84|        3023|         172|
|         464|         209|         976|         210|        1488|         227|        2000|           3|        2512|          52|        3024|         117|
|         465|         165|         977|         202|        1489|         191|        2001|         132|        2513|          26|        3025|         127|
|         466|          70|         978|          94|        1490|           6|        2002|          62|        2514|           6|        3026|          95|
|         467|         125|         979|         157|        1491|          12|        2003|         203|        2515|         219|        3027|          58|
|         468|          53|         980|         159|        1492|          25|        2004|         163|        2516|          62|        3028|         232|
|         469|         223|         981|          73|        1493|         131|        2005|         141|        2517|         103|        3029|          17|
|         470|         154|         982|         101|        1494|         191|        2006|         170|        2518|          36|        3030|          46|
|         471|         174|         983|          55|        1495|          16|        2007|          57|        2519|         178|        3031|         123|
|         472|          86|         984|           3|        1496|         192|        2008|         141|        2520|         106|        3032|          87|
|         473|         169|         985|         201|        1497|         186|        2009|         122|        2521|          11|        3033|         107|
|         474|           1|         986|          39|        1498|         222|        2010|          36|        2522|         251|        3034|          97|
|         475|         115|         987|         104|        1499|         173|        2011|          65|        2523|          38|        3035|          90|
|         476|          92|         988|          70|        1500|          65|        2012|          75|        2524|         101|        3036|         143|
|         477|         208|         989|         185|        1501|         115|        2013|         252|        2525|          85|        3037|         126|
|         478|          26|         990|         102|        1502|          67|        2014|         176|        2526|         172|        3038|          57|
|         479|         186|         991|         188|        1503|          14|        2015|         176|        2527|         162|        3039|         229|
|         480|          22|         992|          87|        1504|         169|        2016|          10|        2528|         123|        3040|         253|
|         481|          63|         993|         162|        1505|         214|        2017|         218|        2529|         174|        3041|          81|
|         482|          59|         994|         152|        1506|         133|        2018|           2|        2530|          14|        3042|         171|
|         483|          79|         995|         161|        1507|          67|        2019|          53|        2531|         118|        3043|           8|
|         484|         166|         996|         121|        1508|          91|        2020|          78|        2532|          80|        3044|          99|
|         485|         218|         997|          10|        1509|          11|        2021|         219|        2533|         123|        3045|         236|
|         486|         195|         998|          58|        1510|          65|        2022|         216|        2534|         255|        3046|         182|
|         487|         234|         999|         110|        1511|          65|        2023|         100|        2535|         216|        3047|         155|
|         488|         123|        1000|          57|        1512|           7|        2024|         228|        2536|         210|        3048|         207|
|         489|         169|        1001|         152|        1513|          87|        2025|         230|        2537|          69|        3049|         116|
|         490|         172|        1002|         103|        1514|         178|        2026|         141|        2538|         248|        3050|         243|
|         491|         108|        1003|         163|        1515|          42|        2027|           1|        2539|          40|        3051|         160|
|         492|         128|        1004|         163|        1516|         214|        2028|          25|        2540|         107|        3052|         206|
|         493|          57|        1005|         121|        1517|         136|        2029|         104|        2541|          23|        3053|         151|
|         494|          96|        1006|         169|        1518|         130|        2030|         235|        2542|         229|        3054|         110|
|         495|         102|        1007|         114|        1519|         207|        2031|         124|        2543|         121|        3055|         197|
|         496|         147|        1008|         181|        1520|         231|        2032|          41|        2544|         123|        3056|         221|
|         497|          63|        1009|           1|        1521|         148|        2033|         246|        2545|          40|        3057|          43|
|         498|         206|        1010|          15|        1522|         224|        2034|          66|        2546|          51|        3058|         180|
|         499|         219|        1011|         127|        1523|         116|        2035|         184|        2547|          76|        3059|          49|
|         500|          57|        1012|          20|        1524|         255|        2036|         250|        2548|           5|        3060|          32|
|         501|         127|        1013|         150|        1525|         125|        2037|          52|        2549|         186|        3061|          17|
|         502|         188|        1014|         128|        1526|         211|        2038|         182|        2550|          42|        3062|          45|
|         503|          71|        1015|         229|        1527|         211|        2039|          16|        2551|         158|        3063|         124|
|         504|         144|        1016|         254|        1528|         124|        2040|          10|        2552|         169|        3064|          87|
|         505|         236|        1017|         202|        1529|         119|        2041|         245|        2553|          66|        3065|          96|
|         506|          95|        1018|          78|        1530|         206|        2042|         221|        2554|         125|        3066|         172|
|         507|         223|        1019|         121|        1531|          99|        2043|         156|        2555|          38|        3067|         255|
|         508|         133|        1020|         128|        1532|         139|        2044|         166|        2556|         210|        3068|          13|
|         509|          17|        1021|         199|        1533|          77|        2045|         163|        2557|         201|        3069|         191|
|         510|          41|        1022|          14|        1534|         132|        2046|         138|        2558|          31|        3070|          69|
|         511|          27|        1023|          82|        1535|         217|        2047|         176|        2559|         216|        3071|          79|
